 Product ID 	 Product Name              	 Detailed Marketing Product Description                           	 Cost (INR) 	 Ingredients Used                                          
111	 Mushroom and Onion Pizza   	" Earthy Duet: A classic duo of mushrooms and onions, brought to life on a canvas of tomato sauce and mozzarella. "	 ₹650      	" Tomato sauce, mozzarella, mushrooms, onions                 "
112	 Pepper and Sausage Pizza   	" Fiesta of Flavors: A vibrant combination of green peppers, red onions, and savory sausage sizzling on a tomato sauce and mozzarella base. "	 ₹750      	" Tomato sauce, mozzarella, green peppers, red onions, sausage "
113	 White Pizza               	" Bianca Bliss: Olive oil and garlic set the stage for a medley of mozzarella, ricotta, spinach, and tomatoes in this white pizza creation. "	 ₹700      	" Olive oil and garlic base, mozzarella, ricotta, spinach, tomatoes "
114	 Cheeseburger Pizza        	" All-American Anthem: Ketchup and mustard base, mozzarella, ground beef, pickles, onions, and cheddar cheese unite to create a cheeseburger masterpiece. "	 ₹800      	" Ketchup and mustard base, mozzarella, ground beef, pickles, onions, cheddar cheese "
115	 Buffalo Ranch Chicken Pizza	" Ranch Rhapsody: Buffalo ranch sauce, grilled chicken, and blue cheese celebrate in a flavor-filled dance atop a mozzarella-covered crust. "	 ₹750      	" Buffalo ranch sauce, mozzarella, grilled chicken, red onions, celery, blue cheese "
116	 Pesto and Tomato Pizza     	" Pesto Perfection: A celebration of pesto sauce, fresh tomatoes, and Parmesan on a thin, crispy crust. "	 ₹700      	" Pesto sauce, mozzarella, tomatoes, Parmesan                 "
117	 BBQ Bacon Cheeseburger Pizza	" BBQ Bacchanalia: BBQ sauce, bacon, ground beef, and cheddar create a smoky, savory melody on a mozzarella-covered crust. "	 ₹850      	" BBQ sauce, mozzarella, ground beef, bacon, red onions, cheddar cheese "
118	 Artichoke and Olive Pizza  	" Mediterranean Harmony: Artichokes, black olives, and feta cheese join forces on a tomato sauce and mozzarella base. "	 ₹650      	" Tomato sauce, mozzarella, artichokes, black olives, feta cheese "
119	 Chicken Bacon Ranch Pizza  	" Ranch Reverie: Creamy ranch sauce, grilled chicken, and crispy bacon create a ranch-infused sensation on mozzarella-covered dough. "	 ₹800      	" Ranch sauce, mozzarella, grilled chicken, bacon, tomatoes    "
120	 Vegetarian Pizza          	 Garden Gala: A garden-inspired feast featuring assorted fresh veggies on a tomato sauce and mozzarella canvas. 	 ₹700      	" Tomato sauce, mozzarella, bell peppers, onions, olives, mushrooms, tomatoes "
121	 Meatball and Ricotta Pizza 	" Rustic Italian Rhapsody: Meatballs, ricotta cheese, and basil entwine on a tomato sauce and mozzarella base. "	 ₹700      	" Tomato sauce, mozzarella, meatballs, ricotta cheese, basil  "
122	 Shrimp Scampi Pizza       	" Seafood Serenade: Garlic butter sauce, succulent shrimp, and tomatoes create a sea-inspired melody on a mozzarella-covered crust. "	 ₹850      	" Garlic butter sauce, mozzarella, shrimp, tomatoes, parsley   "
123	 Sriracha Chicken Pizza     	" Fiery Fusion: Spicy Sriracha sauce, grilled chicken, and fresh veggies create a bold and spicy dance on a mozzarella-covered crust. "	 ₹750      	" Sriracha sauce, mozzarella, grilled chicken, bell peppers, red onions, cilantro "
124	 Caprese Pizza              	" Italian Elegance: Fresh mozzarella, tomatoes, and basil drizzled with olive oil and balsamic glaze create a classic Caprese masterpiece. "	 ₹700      	" Olive oil and balsamic glaze, fresh mozzarella, tomatoes, basil "
125	 Bacon and Spinach Pizza    	" Savory Sonata: Crispy bacon, fresh spinach, and garlic unite on a tomato sauce and mozzarella-covered crust. "	 ₹650      	" Tomato sauce, mozzarella, bacon, spinach, garlic            "
126	 Chicken Pesto Pizza        	" Pesto Passion: Pesto sauce, grilled chicken, sun-dried tomatoes, and feta cheese create a Mediterranean melody on a mozzarella-covered crust. "	 ₹800      	" Pesto sauce, mozzarella, grilled chicken, sun-dried tomatoes, feta cheese "
127	 Buffalo Cauliflower Pizza  	" Veggie Vibrato: Roasted cauliflower, red onions, and blue cheese on a buffalo sauce base create a harmonious vegetarian delight. "	 ₹750      	" Buffalo sauce, mozzarella, roasted cauliflower, red onions, blue cheese "
128	 Three Cheese Pizza        	" Cheesy Crescendo: A crescendo of mozzarella, cheddar, and Parmesan creates a symphony of cheese on a tomato sauce base. "	 ₹650      	" Tomato sauce, mozzarella, cheddar, Parmesan                "
129	 Mediterranean Pizza       	" Mediterranean Melody: Kalamata olives, red onions, tomatoes, and feta cheese dance on an olive oil and garlic base. "	 ₹850      	" Olive oil and garlic base, mozzarella, kalamata olives, red onions, tomatoes, feta cheese "
130	 Taco Pizza                	" Taco Temptation: A fiesta of refried beans, seasoned ground beef, lettuce, tomatoes, cheddar, and sour cream on a mozzarella base. "	 ₹700      	" Refried beans, mozzarella, seasoned ground beef, tomatoes, lettuce, cheddar cheese, sour cream "
